"Source:","F:\CN\KiCad\EV01\EV01.sch"
"Date:","2020/4/28 下午 04:59:21"
"Tool:","Eeschema 4.0.7"
"Generator:","C:/Program Files/KiCad/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","88"
"Ref","Qnty","Value","Cmp name","Footprint","Description","manf#"
"ANT1, ","1","WAN2012","WAN2012","CNlib:WAN2012","","WAN2012"
"C2, C8, C9, C5, C17, C41, C37, C36, C35, C30, C31, C1, ","12","10uF","C","Capacitors_SMD:C_0402","Unpolarized capacitor","GRM155C80G106ME44D"
"C10, C11, C39, ","3","4.7uF","C","Capacitors_SMD:C_0402","Unpolarized capacitor","CM05X5R475M10AH"
"C18, C4, C12, C13, C14, C7, C15, C16, C6, C3, C20, C22, C23, C24, ","14","1uF","C","Capacitors_SMD:C_0402","Unpolarized capacitor","GRM155C81C105ME11J"
"C21, C19, ","2","0.1uF","C","Capacitors_SMD:C_0402","Unpolarized capacitor","C0402C104K4RECTU"
"C25, ","1","1uF/NC","C","Capacitors_SMD:C_0402","Unpolarized capacitor","NC"
"C26, C29, ","2","6.8pF","C","Capacitors_SMD:C_0402","Unpolarized capacitor","C0402C689C5GACAUTO"
"C27, ","1","10nF","C","Capacitors_SMD:C_0201","Unpolarized capacitor","GRM033R71A103KA01D"
"C28, ","1","NC/3.9pF","C","Capacitors_SMD:C_0402","Unpolarized capacitor","NC"
"C32, ","1","1.2pF","C","Capacitors_SMD:C_0402","Unpolarized capacitor","C0402C129C5HACAUTO"
"C34, ","1","2.2uF","C","Capacitors_SMD:C_0402","Unpolarized capacitor","GRM155R60J225ME95J"
"C38, C40, ","2","100pF","C","Capacitors_SMD:C_0402","Unpolarized capacitor","GRT1555C1H101JA02D"
"D1, ","1","LED BLUE","LED","LED_0603","LED generic","150060BS75000"
"D2, ","1","LED RED","LED","LED_0603","LED generic","150060RS75000"
"D4, D3, D5, ","3","AZ5A25","AZ5A25","Diodes_SMD:D_0603","","AZ5A25-01F"
"FB2, FB1, ","2","BK1005HM750-TV(TAIYO YUDEN)","R","BK1005HM750-T","Resistor","BK1005HM750-TV"
"L1, L2, L3, L4, ","4","2.2uH","L","Capacitors_SMD:C_0402","Inductor","MLF1005G2R2KT000"
"MIC1, ","1","3SM102E4T13B","3SM102E4T13B","CNlib:3S_MIC","","3SM102E4T13B"
"R1, R2, R10, ","3","10k","R","Resistors_SMD:R_0402","Resistor","NCU15XH103F6SRC"
"R5, ","1","47K","R","Resistors_SMD:R_0402","Resistor","NCU15WB473E6SRC"
"R6, ","1","1K","R","Resistors_SMD:R_0402","Resistor","CRCW04021K00FKEDC"
"R7, R8, R9, R11, R3, R4, R17, ","7","0R","R","Resistors_SMD:R_0402","Resistor","RC0402FR-070RL"
"R12, ","1","1.3k","R","Resistors_SMD:R_0201","Resistor","RC0201FR-071K3L"
"R13, ","1","1M","R","Resistors_SMD:R_0201","Resistor","RE0201BRE071ML"
"R14, ","1","330","R","Resistors_SMD:R_0402","Resistor","RC0402JR-13330RL"
"R15, ","1","10K","R","Resistors_SMD:R_0402","Resistor","NCU15XH103F6SRC"
"R16, ","1","1k","R","Resistors_SMD:R_0402","Resistor","CRCW04021K00FKEDC"
"T1, ","1","VCHGER","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T2, ","1","TX","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T3, ","1","RX","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T4, T9, ","2","GND","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T5, ","1","BAT+","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T6, ","1","BAT-","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T7, ","1","LN","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T8, ","1","LP","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T10, ","1","I2C_CLK","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T11, ","1","I2C_DATGND","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T12, ","1","G5","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T13, ","1","G6","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"T14, ","1","touch","Conn_01x01","CNlib:pad_1x1mm","Generic connector, single row, 01x01",""
"U1, ","1","TI_BQ25101","TI_BQ25101","CNlib:Texas_DSBGA-6_2x3_0.9x1.4mm(2)","","BQ25101YFPR"
"U2, ","1","BES2300Z","BES2300Z","CNlib:BES(2) BGA-80_6.2x4.5x1.3","","BES2300Z (Type E)"
"U3, ","1","TB6018D","TB6018D","Housings_DFN_QFN:DFN-6-1EP_2x2mm_Pitch0.65mm","","TB6018D"
"Y1, ","1","Y2016 26Mhz","Crystal_GND24","CNlib:Y2016_SOT-883","Four pin crystal (GND on pins 2 and 4), e.g. in SMD package","FA-128 26.0000MF10Z-AC3"
